OPCODE;MAINOUTITEMCODE;PRODQTY;REMAINQTY;PRODSTART;PRODEND;MAINRESOURCE;MASTEROPCODE;DEPARTMENT;PREVOPCODE;NEXTOPCODE
"I_096.02.00.0200:10";"096.02.00.0200";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.03.00.0011:10";"096.03.00.0011";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.03.03.0020:10";"096.03.03.0020";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.07.01.0010:10";"096.07.01.0010";"11.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.10.00.0030:10";"096.10.00.0030";"91.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.16.00.1000:10";"096.16.00.1000";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_096.27.02.0030:10";"096.27.02.0030";"1.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_1.0RL_UNI316:10";"1.0RL_UNI316";"7.490000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100033:10";"100033";"248.880000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M458350:10;M486488:10;M487772:10;M487771:10;M487770:10;M487769:10;M487768:10;M487767:10;M487766:10;M418936:10;M460389:10;M495220:10;M495219:10";
"I_100068:10";"100068";"1030.430000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M495105:10;M499320:10;M487307:10;M498459:10";
"I_100096:10";"100096";"2.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M461493:10";
"I_100105:10";"100105";"40.450000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M502014:10;M455787:10;M473022:10;M461687:10;M495173:10";
"I_100140:10";"100140";"30.210000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100185:10";"100185";"6.140000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100205:10";"100205";"114.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100224:10";"100224";"35.530000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M486936:10;M461614:10";
"I_100231:10";"100231";"0.530000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M487880:10";
"I_100256:10";"100256";"336.600000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100287:10";"100287";"433.940000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M477348:10;M477347:10;M473220:10;M473219:10;M499897:10;M473267:10;M499899:10;M499898:10;M473266:10;M473305:10;M473304:10;M473268:10;M473303:10;M463860:10;M463861:10;M499921:10;M499920:10;M499911:10;M499882:10;M458392:10;M499890:10;M458404:10;M458403:10;M484948:10;M499208:10;M484947:10;M486101:10;M486100:10;M484888:10;M484940:10;M484939:10;M484875:10;M484898:10;M491107:10;M495172:10";
"I_100325:10";"100325";"6.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"None";
"I_100352:10";"100352";"71.920000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M478109:10;M478108:10;M478112:10;M478111:10;M499172:10;M499171:10;M498088:10;M498087:10;M499175:10;M499174:10;M500680:10;M500681:10;M500682:10;M500683:10";
"I_100374:10";"100374";"60.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M478110:10;M498086:10;M499173:10;M500678:10;M500679:10";
"I_100396:10";"100396";"126.720000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M502824:10";
"I_100434:10";"100434";"24.500000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M487900:10;M481417:10;M487877:10;M483190:10;M460502:10;M482662:10;M482735:10;M499948:10;M482621:10;M482614:20;M459987:10;M495222:10";
"I_100450:10";"100450";"3.000000000000";"None";"2016-02-13 18:00:00";"2016-02-14 00:00:00";"DefaultInventoryResource";"None";"None";"None";"M423172:20;M489387:20";
